Date,Open,High,Low,Close,Adj Close,Volume
2021-04-12,47.009628,47.663456,46.908260,47.364422,47.364422,4027090
2021-04-13,47.480991,47.480991,46.822098,46.898125,46.898125,3293332
2021-04-14,46.969082,47.394829,46.908260,46.984287,46.984287,5620682
2021-04-15,49.700962,51.307652,48.317284,50.136848,50.136848,26547702
2021-04-16,50.547390,51.784084,50.288898,51.403954,51.403954,11333504
2021-04-19,51.393818,52.610237,51.120121,52.417637,52.417637,7467805
2021-04-20,52.432842,52.468323,51.267105,51.434364,51.434364,5472510
2021-04-21,51.327927,51.860111,51.206284,51.398884,51.398884,4750787
2021-04-22,51.388748,51.702991,50.739990,50.932590,50.932590,3146540
2021-04-23,51.180943,51.591484,50.932590,51.398884,51.398884,5709862
2021-04-26,51.419159,51.561073,50.765331,50.876839,50.876839,5005304
2021-04-27,50.826153,51.358337,50.790672,51.044094,51.044094,3814598
2021-04-28,51.165737,51.165737,50.364925,50.390270,50.390270,1792668
2021-04-29,50.760265,51.059299,50.410542,50.684238,50.684238,2896167
2021-04-30,50.491638,50.542320,49.746578,49.837811,49.837811,2448888
2021-05-03,50.278763,50.435883,49.493156,49.559048,49.559048,5167682
2021-05-04,49.163712,49.270145,48.585911,48.920425,48.920425,4061618
2021-05-05,49.300556,50.035480,48.930565,49.873287,49.873287,4055107
2021-05-06,49.959454,50.598076,49.543842,50.567661,50.567661,3599936
2021-05-07,50.684238,51.545868,50.567661,51.221489,51.221489,4147641
2021-05-10,51.216423,51.317791,50.476433,50.522049,50.522049,3178306
2021-05-11,49.031933,49.731373,48.641663,49.579323,49.579323,7071824
2021-05-12,49.168777,49.412064,47.627979,47.688801,47.688801,4925595
2021-05-13,48.134819,49.138367,47.957424,48.859604,48.859604,2962854
2021-05-14,49.477951,49.939178,49.275215,49.888496,49.888496,1881058
2021-05-17,49.670551,50.101368,49.498226,49.868221,49.868221,2311567
2021-05-18,50.055752,50.192600,49.574253,49.746578,49.746578,1869220
2021-05-19,48.869743,49.452610,48.352760,49.062344,49.062344,3021847
2021-05-20,49.214394,50.223011,49.189053,49.979725,49.979725,2802055
2021-05-21,50.395336,50.532185,49.827675,49.908768,49.908768,2296769
2021-05-24,50.334515,51.018753,50.248352,50.755196,50.755196,3656364
2021-05-25,51.039028,51.160667,50.400406,50.435883,50.435883,4078783
2021-05-26,50.506844,50.912315,50.359859,50.511909,50.511909,3318586
2021-05-27,50.790672,50.917385,50.172325,50.532185,50.532185,6532208
2021-05-28,50.015205,50.547390,48.271667,49.994930,49.994930,6509124
2021-06-01,50.476433,52.194626,50.395336,52.128738,52.128738,8253256
2021-06-02,52.179420,52.372021,51.084644,51.084644,51.084644,4747433
2021-06-03,50.826153,51.677647,50.319309,51.525597,51.525597,5104151
2021-06-04,51.728333,52.493664,51.586418,52.473392,52.473392,4336851
2021-06-07,52.802837,52.914345,51.905727,52.123669,52.123669,2438431
2021-06-08,52.169285,52.797771,52.118603,52.665993,52.665993,2725305
2021-06-09,52.818043,52.899139,52.341614,52.691334,52.691334,2267372
2021-06-10,52.660923,53.025848,52.448048,52.605171,52.605171,3439925
2021-06-11,52.458187,52.767361,51.601624,52.701469,52.701469,3788949
2021-06-14,52.711609,52.823112,51.824635,52.072987,52.072987,3681223
2021-06-15,52.143944,52.361885,51.890522,52.133804,52.133804,2075201
2021-06-16,52.057781,52.412571,51.697922,52.078053,52.078053,3290767
2021-06-17,52.078053,52.078053,50.410542,50.506844,50.506844,5055813
2021-06-18,49.792194,50.101368,49.336037,49.959454,49.959454,5546695
2021-06-21,50.299038,50.765331,50.212875,50.684238,50.684238,3652418
2021-06-22,50.684238,50.684238,50.177395,50.562595,50.562595,2206998
2021-06-23,50.532185,50.603142,50.177395,50.288898,50.288898,2387133
2021-06-24,50.684238,50.684238,49.974659,50.217941,50.217941,7347452
2021-06-25,50.430817,50.582870,50.309174,50.430817,50.430817,9249424
2021-06-28,50.430817,50.785606,50.344654,50.557526,50.557526,7946652
2021-06-29,50.582870,51.849976,50.364925,51.799290,51.799290,8192291
2021-06-30,51.343132,51.530663,50.481499,50.516979,50.516979,5759582
2021-07-01,50.228081,50.390270,49.619869,50.020275,50.020275,5603123
2021-07-02,50.253422,50.532185,49.619869,50.364925,50.364925,4022750
2021-07-06,50.334515,50.785606,49.726303,49.858086,49.858086,3589084
2021-07-07,50.157120,50.719715,49.842880,50.425747,50.425747,3040985
2021-07-08,49.680691,50.527115,49.488091,50.177395,50.177395,3542916
2021-07-09,50.329449,51.120121,50.288898,50.810947,50.810947,5137100
2021-07-12,50.739990,50.739990,49.219463,49.229599,49.229599,4087069
2021-07-13,49.036999,49.052204,47.506336,47.521542,47.521542,6977514
2021-07-14,47.947289,48.570705,47.207298,47.339077,47.339077,5163538
2021-07-15,47.105930,47.501266,46.746071,47.460720,47.460720,5192147
2021-07-16,47.749619,47.795235,46.741005,46.776482,46.776482,3884442
2021-07-19,46.036491,47.273190,45.909782,47.075520,47.075520,4358160
2021-07-20,47.344147,48.626457,47.313736,48.337559,48.337559,4929541
2021-07-21,48.504814,49.011658,48.210846,48.763306,48.763306,3306156
2021-07-22,48.900150,48.971111,48.256462,48.626457,48.626457,2737538
2021-07-23,48.656868,49.011658,48.449062,48.935631,48.935631,2062574
2021-07-26,49.021793,49.209328,48.793716,48.890015,48.890015,2463488
2021-07-27,48.464268,48.849468,48.124683,48.707554,48.707554,1734859
2021-07-28,48.783577,48.960972,48.560570,48.601116,48.601116,1140591
2021-07-29,48.829193,49.118095,48.433857,49.057274,49.057274,1576822
2021-07-30,48.844398,49.300556,48.677139,48.971111,48.971111,1586884
2021-08-02,49.204258,49.229599,48.651798,48.803852,48.803852,2405876
2021-08-03,49.042068,50.081097,48.717690,49.888496,49.888496,3140424
2021-08-04,49.665485,49.721237,49.239735,49.361378,49.361378,1653571
