Date,Open,High,Low,Close,Adj Close,Volume
2021-10-11,230.009995,230.320007,224.869995,225.110001,224.349411,5620200
2021-10-12,225.559998,226.220001,222.919998,224.050003,223.292999,5448200
2021-10-13,223.130005,225.860001,218.630005,222.460007,221.708374,9076000
2021-10-14,224.119995,225.649994,223.059998,225.179993,224.419159,5590500
2021-10-15,227.220001,231.089996,226.729996,230.990005,230.209549,6355100
2021-10-18,230.179993,232.759995,228.139999,230.649994,229.870697,5580200
2021-10-19,231.949997,233.639999,230.679993,233.520004,232.731003,4409700
2021-10-20,233.460007,233.800003,231.309998,231.419998,230.638092,5401800
2021-10-21,230.699997,230.830002,226.300003,230.240005,229.462082,5982200
2021-10-22,230.289993,232.820007,228.710007,231.229996,230.448730,3788000
2021-10-25,233.449997,234.860001,232.289993,233.880005,233.089783,4938700
2021-10-26,235.529999,236.960007,231.330002,231.820007,231.036743,7814500
2021-10-27,224.750000,224.750000,215.660004,215.779999,215.050934,22958100
2021-10-28,219.250000,219.990005,209.009995,209.839996,209.130997,23199400
2021-10-29,209.210007,213.669998,208.539993,211.770004,211.054489,14329800
2021-11-01,213.490005,215.250000,211.449997,212.460007,211.742157,13210300
2021-11-02,213.160004,213.350006,207.820007,209.139999,208.433365,14688700
2021-11-03,209.690002,210.149994,206.729996,208.100006,207.396896,11486700
2021-11-04,209.160004,212.360001,207.869995,208.779999,208.074585,11368200
2021-11-05,211.949997,217.630005,211.360001,216.669998,215.937927,14273600
2021-11-08,218.369995,221.610001,218.149994,220.490005,219.745026,13500100
2021-11-09,219.690002,220.410004,212.919998,213.389999,212.669006,11535000
2021-11-10,213.550003,216.949997,213.330002,215.559998,215.209869,10063600
2021-11-11,216.470001,216.779999,210.160004,210.419998,210.078217,13546900
2021-11-12,211.500000,213.580002,211.429993,212.089996,211.745499,7660500
2021-11-15,213.619995,216.399994,211.809998,212.300003,211.955170,9596900
2021-11-16,212.160004,215.649994,211.660004,215.179993,214.830475,8719600
2021-11-17,205.949997,207.309998,199.460007,205.059998,204.726929,38379600
2021-11-18,206.500000,207.869995,201.270004,203.330002,202.999741,18292200
2021-11-19,202.039993,203.500000,199.850006,200.860001,200.533752,18032600
2021-11-22,200.000000,201.699997,194.600006,195.580002,195.262329,21185800
2021-11-23,196.970001,198.919998,194.380005,198.490005,198.167603,14742700
